,accuracy,true_positive_rate,true_negative_rate,precision,false_positive_rate,f1_score,time spent(training),time spent(testing),n_internal,n_params
84,0.9327006039689387,0.9609375,0.9228981015110422,0.8122641509433962,0.07710189848895777,0.8803680981595091,1.7527340999999979,0.44730289999998263,25,2052
85,0.9324129997123958,0.9620535714285714,0.9221232080588919,0.8109125117591721,0.0778767919411081,0.8800408371618171,1.8351483000000144,0.5247364999999888,30,2912
86,0.9321253954558527,0.9564732142857143,0.9236729949631926,0.8130929791271347,0.07632700503680744,0.878974358974359,2.2216966000000014,0.5681260000000066,35,3922
87,0.9260857060684499,0.9486607142857143,0.9182487407981402,0.8011310084825636,0.08175125920185974,0.8686765457332652,2.6128486000000066,0.6262768999999935,40,5082
88,0.9303997699165948,0.9330357142857143,0.92948469585432,0.8212180746561886,0.07051530414567997,0.8735632183908046,3.0501615999999956,0.6762012000000084,45,6392
89,0.9188955996548749,0.9341517857142857,0.9135993800852383,0.789622641509434,0.08640061991476172,0.8558282208588958,3.309105299999999,0.7492580999999916,50,7852
90,0.9301121656600517,0.9720982142857143,0.9155366137156141,0.7998163452708907,0.08446338628438589,0.8775818639798489,0.6158604000000025,0.18857099999999605,5,112
91,0.9341386252516537,0.9709821428571429,0.9213483146067416,0.8108108108108109,0.07865168539325842,0.8836973082783138,0.9447909000000152,0.28155219999999304,10,372
92,0.9327006039689387,0.9631696428571429,0.9221232080588919,0.8110902255639098,0.0778767919411081,0.8806122448979592,1.0985606000000132,0.3195688000000132,15,782
93,0.9321253954558527,0.9598214285714286,0.9225106547849671,0.8113207547169812,0.07748934521503294,0.8793456032719836,1.3770931999999902,0.41191969999999856,20,1342
94,0.9350014380212827,0.9587053571428571,0.9267725687717939,0.8196564885496184,0.07322743122820612,0.8837448559670782,1.687414700000005,0.4742906999999832,25,2052
95,0.9318377911993098,0.9676339285714286,0.9194110809763657,0.8065116279069767,0.08058891902363426,0.8797564687975646,1.8728904999999827,0.5027609999999925,30,2912
96,0.9358642507909117,0.9642857142857143,0.9259976753196435,0.818957345971564,0.07400232468035645,0.885699641209636,2.232471099999998,0.6030336000000034,35,3922
97,0.9312625826862237,0.9520089285714286,0.9240604416892677,0.8131553860819828,0.07593955831073228,0.877120822622108,2.580586799999992,0.6255491000000006,40,5082
98,0.9263733103249928,0.9386160714285714,0.9221232080588919,0.8071017274472169,0.0778767919411081,0.8679050567595459,2.832905299999993,0.718640100000016,45,6392
99,0.9194708081679609,0.9308035714285714,0.9155366137156141,0.7927756653992395,0.08446338628438589,0.8562628336755647,3.3718834999999956,0.7588302999999996,50,7852
100,0.9232096635030198,0.9743303571428571,0.9054629988376598,0.7815577439570277,0.09453700116234018,0.8673621460506706,0.5846769000000052,0.18684089999999287,5,112
101,0.9335634167385677,0.9654017857142857,0.9225106547849671,0.812206572769953,0.07748934521503294,0.8822029576746558,0.9223346999999933,0.27263349999998354,10,372
102,0.9338510209951107,0.9698660714285714,0.9213483146067416,0.8106343283582089,0.07865168539325842,0.883130081300813,1.0806335999999988,0.36202019999998925,15,782
103,0.9315501869427667,0.9631696428571429,0.9205734211545913,0.8080524344569289,0.07942657884540875,0.8788187372708758,1.4756724000000077,0.40545620000000326,20,1342
104,0.9344262295081968,0.9609375,0.9252227818674932,0.816888045540797,0.07477721813250678,0.8830769230769231,1.7023595000000284,0.47210710000001654,25,2052
105,0.9295369571469658,0.9575892857142857,0.9197985277024409,0.8056338028169014,0.08020147229755908,0.8750637429882713,1.853039200000012,0.5181206000000316,30,2912
106,0.9352890422778257,0.9620535714285714,0.9259976753196435,0.818613485280152,0.07400232468035645,0.8845561826577734,2.2119259000000397,0.5943712000000119,35,3922
107,0.9303997699165948,0.9464285714285714,0.924835335141418,0.8138195777351248,0.07516466485858195,0.8751289989680081,2.732115599999986,0.6209396000000424,40,5082
