,Self CPU %,Self CPU,CPU total %,CPU total,CPU time avg,Self CUDA,Self CUDA %,CUDA total,CUDA time avg,CPU Mem,Self CPU Mem,CUDA Mem,Self CUDA Mem,# of Calls
aten::argmax,0.23%,44.829ms,0.23%,45.399ms,13.757us,20.127ms,0.10%,24.570ms,7.445us,0 b,0 b,3.22 Mb,3.22 Mb,3300
aten::eq,0.09%,17.845ms,0.09%,17.845ms,10.815us,6.130ms,0.03%,6.130ms,3.715us,0 b,0 b,825.00 Kb,825.00 Kb,1650
Optimizer.zero_grad#AdamW.zero_grad,0.55%,107.602ms,1.08%,210.128ms,158.587us,29.595ms,0.14%,144.788ms,109.274us,-5.18 Kb,-362.64 Kb,0 b,0 b,1325
aten::ones_like,0.05%,9.054ms,0.13%,25.265ms,19.068us,5.815ms,0.03%,15.279ms,11.531us,0 b,0 b,662.50 Kb,0 b,1325
aten::fill_,0.27%,53.326ms,0.27%,53.326ms,3.094us,76.815ms,0.37%,76.815ms,4.456us,0 b,0 b,0 b,0 b,17237
autograd::engine::evaluate_function: DivBackward1,0.05%,10.073ms,0.28%,53.762ms,40.575us,3.586ms,0.02%,14.810ms,11.177us,0 b,-1.80 Kb,662.50 Kb,0 b,1325
DivBackward1,0.10%,19.977ms,0.22%,43.689ms,32.973us,5.347ms,0.03%,11.224ms,8.471us,1.80 Kb,1.80 Kb,662.50 Kb,0 b,1325
aten::lift_fresh,0.01%,1.617ms,0.01%,1.617ms,1.209us,1.896ms,0.01%,1.896ms,1.418us,0 b,0 b,0 b,0 b,1337
autograd::engine::evaluate_function: NegBackward0,0.04%,6.967ms,0.12%,23.227ms,17.530us,3.632ms,0.02%,10.933ms,8.251us,0 b,0 b,512 b,-662.00 Kb,1325
NegBackward0,0.03%,5.373ms,0.08%,16.260ms,12.272us,3.632ms,0.02%,7.301ms,5.510us,0 b,0 b,662.50 Kb,0 b,1325
